name,elementId,quantity,image
FLAT TILE 1X1,4211415,2,https://www.lego.com/cdn/cs/set/assets/blt20a866ac8279fb73/4211415.jpg
FLAT TILE 1X2,4211414,6,https://www.lego.com/cdn/cs/set/assets/blt789a92b6d2e043c3/4211414.jpg
FLAT TILE 1X3,4558169,6,https://www.lego.com/cdn/cs/set/assets/bltd8a89e14c1768daf/4558169.jpg
FLAT TILE 2x2 ROUND W. HOLE Ø4.85,6143850,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6143850.jpg
PLATE 6X10,6509008,3,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6509008.jpg
PLATE 2X10,383221,1,https://www.lego.com/cdn/cs/set/assets/blt230398276715eecc/383221.jpg
BRICK 1X2,300423,6,https://www.lego.com/cdn/cs/set/assets/bltdc4494d3a903957f/300423.jpg
BRICK 1X3,362223,2,https://www.lego.com/cdn/cs/set/assets/blt2a3a7742bf78aeba/362223.jpg
BRICK 1X6,300923,1,https://www.lego.com/cdn/cs/set/assets/blt550c55c1be95718b/300923.jpg
BRICK 1X8,300823,11,https://www.lego.com/cdn/cs/set/assets/blt65208e760deea123/300823.jpg
ROOF TILE 2X2/45° INV.,366023,5,https://www.lego.com/cdn/cs/set/assets/blte4fcfb46e3a41635/366023.jpg
ROOF TILE 1X3/25°,428623,4,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/428623.jpg
PLATE 1X2,302323,10,https://www.lego.com/cdn/cs/set/assets/bltdcdef93baf1454d9/302323.jpg
ANGULAR BRICK 1X1,407023,4,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/407023.jpg
PLATE 2X3,302123,4,https://www.lego.com/cdn/cs/set/assets/bltf4842509b66e64b3/302123.jpg
ROUND PLATE 1X1,4211525,11,https://www.lego.com/cdn/cs/set/assets/blt54451cd4b7588c77/4211525.jpg
MINI ANTENNA ASS.BLA/BLA,73587,2,https://www.lego.com/cdn/cs/set/assets/blt9e96645ec2ffc844/73587.jpg
MINI ANTENNA,6267587,2,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6267587.jpg
LADDER 1X2X2,6285241,4,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6285241.jpg
ROUND PLATE 2X2 W/EYE,6010831,2,https://www.lego.com/cdn/cs/set/assets/blt02324272cb3dacf1/6010831.jpg
BRICK 1X2,300401,5,https://www.lego.com/cdn/cs/set/assets/blta73c5691a72732dc/300401.jpg
BRICK 1X3,362201,6,https://www.lego.com/cdn/cs/set/assets/bltfa3861e5a383ebb2/362201.jpg
BRICK 1X4,301001,4,https://www.lego.com/cdn/cs/set/assets/blt504a1fe7674704a8/301001.jpg
BRICK 1X6,300901,4,https://www.lego.com/cdn/cs/set/assets/blt701fc4ef6bfbf474/300901.jpg
BRICK 1X6,300924,1,https://www.lego.com/cdn/cs/set/assets/blt9e7808ad587ab31b/300924.jpg
BRICK 1X2,300424,1,https://www.lego.com/cdn/cs/set/assets/bltf7da6f81b0769f6c/300424.jpg
ROUND BRICK 1X1,306224,1,https://www.lego.com/cdn/cs/set/assets/blt921a59f7d0776bf6/306224.jpg
TAP Ø4.9/6.4,4256320,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/4256320.jpg
PLATE 6X6,4144302,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/4144302.jpg
WALL W/WINDOW W.RADIUS 1x4x2,4521846,3,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/4521846.jpg
ROOF TILE 2X2/45 INVERTED,6366391,5,https://www.lego.com/cdn/cs/set/assets/blt4dc5190c9ed49b3b/6366391.jpg
ROOF TILE CORN. INVERT.2X2/45°,6138740,2,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6138740.jpg
ROOF TILE 1X2 INV.,366501,4,https://www.lego.com/cdn/cs/set/assets/blta3180e134a8309ad/366501.jpg
ROOF TILE 2X2X3/ 73 GR.,6004491,2,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6004491.jpg
"TECHNIC BRICK 1X2, Ø4.9",370001,2,https://www.lego.com/cdn/cs/set/assets/bltbc48ddf4a32a3171/370001.jpg
BRICK 1X2,300426,5,https://www.lego.com/cdn/cs/set/assets/blt41362383f8120185/300426.jpg
BRICK 2X3,300226,1,https://www.lego.com/cdn/cs/set/assets/bltda5a31fa76584d8e/300226.jpg
PLATE 1X2,302326,6,https://www.lego.com/cdn/cs/set/assets/bltf66a5a127590bc4c/302326.jpg
PLATE 2X4,302026,2,https://www.lego.com/cdn/cs/set/assets/blte231204619f56ae3/302026.jpg
PLATE 1X1 W. HOLDER,6330189,2,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6330189.jpg
PLATE 1X1 W. UP RIGHT HOLDER,6308012,3,https://www.lego.com/cdn/cs/set/assets/blt18806afe55eb0636/6308012.jpg
PLATE 2X4,302001,2,https://www.lego.com/cdn/cs/set/assets/blt56ba9d7c51226a9e/302001.jpg
PLATE 2X8,303401,1,https://www.lego.com/cdn/cs/set/assets/bltb28f2ffa6ca34edb/303401.jpg
PLATE 1X6,366601,2,https://www.lego.com/cdn/cs/set/assets/blta25ebd5b1abff696/366601.jpg
PLATE 2X3,302101,1,https://www.lego.com/cdn/cs/set/assets/bltf23a23d77b40bbcf/302101.jpg
PLATE 1X2 W. STICK,4140583,3,https://www.lego.com/cdn/cs/set/assets/blt313e0667fe384b4f/4140583.jpg
FLAT TILE 1X4,243101,2,https://www.lego.com/cdn/cs/set/assets/blt8e48fc6fca753fb6/243101.jpg
FLAT TILE 1X8,416201,1,https://www.lego.com/cdn/cs/set/assets/blt334540ea78226a60/416201.jpg
ROOF TILE 1X2/45°,4121932,2,https://www.lego.com/cdn/cs/set/assets/bltd162eccbf25ce88b/4121932.jpg
"FLAT TILE 1X2, NO. 301",6329585,1,https://www.lego.com/cdn/cs/set/assets/bltbb1b835809561885/6329585.jpg
"FLAT TILE 1X2, NO. 291",6304928,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6304928.jpg
CONSOLE W WHEEL RED/BLAC,9552,2,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/9552.jpg
BRICK 2X3,300221,1,https://www.lego.com/cdn/cs/set/assets/bltf927e0fe7a4dcc08/300221.jpg
PLATE 4X4 ROUND W. SNAP,4515347,2,https://www.lego.com/cdn/cs/set/assets/bltd691188ae82104b6/4515347.jpg
Plate Round 4X4 with Ø16mm hole,6392162,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6392162.jpg
BOTTOM W. TURNTABLE 4X4,4611927,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/4611927.jpg
ROOF TILE 2X2X3/ 73 GR.,6007896,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6007896.jpg
CLAMP 1X2,4211357,1,https://www.lego.com/cdn/cs/set/assets/bltfb279e13b9d5ce62/4211357.jpg
PLATE 1X8,346001,3,https://www.lego.com/cdn/cs/set/assets/blt9783b493f6ff98a1/346001.jpg
PLATE 1X3,362301,4,https://www.lego.com/cdn/cs/set/assets/blt1eca764a9f683996/362301.jpg
PLATE 1X1 ROUND,6240221,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6240221.jpg
PLATE 1X1 ROUND,6208450,1,https://www.lego.com/cdn/cs/set/assets/bltb9b71a2743b44443/6208450.jpg
PLATE 1X2,302301,7,https://www.lego.com/cdn/cs/set/assets/blt16293c69ee484ecb/302301.jpg
"PLATE 2X1 W/HOLDER,VERTICAL",6361170,3,https://www.lego.com/cdn/cs/set/assets/blte40ebe4e7a149af1/6361170.jpg
PLATE 1X1 ROUND W/ 3.2 SHAFT,6174937,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6174937.jpg
PLATE 1X2 W/ SHAFT 12M,6277023,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6277023.jpg
PLATE 6X8,303601,1,https://www.lego.com/cdn/cs/set/assets/blt690ccbf0ce357383/303601.jpg
ROOF TILE 2X4/45°,303701,3,https://www.lego.com/cdn/cs/set/assets/blteaa0a2d40b232fae/303701.jpg
CORNER BRICK 2X2/45° OUTSIDE,4233370,2,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/4233370.jpg
PLATE 2X2 W 1 KNOB,6126046,2,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6126046.jpg
STICK 6M W/FLANGE,6170419,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6170419.jpg
WHIP/AERIAL,395701,1,https://www.lego.com/cdn/cs/set/assets/blt7a6ab4febb41bd8f/395701.jpg
PLATE 2X2 W. VERTICAL SNAP,6313138,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6313138.jpg
WALL 2X8X2 WRY INV. W. WIND.,6483097,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6483097.jpg
WALL ELEMENT 1X2X2 W. WINDOW,4507685,2,https://www.lego.com/cdn/cs/set/assets/blt990b0d626080cd64/4507685.jpg
PLATE 1X2 W/SHAFT Ø3.2,4515364,1,https://www.lego.com/cdn/cs/set/assets/blt107a7260716fd194/4515364.jpg
BRICK 4X4 ROUND W. Ø4.9 W. KL.,4558956,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/4558956.jpg
RADIATOR GRILLE 1X2,241221,1,https://www.lego.com/cdn/cs/set/assets/bltd834f4a75e84338f/241221.jpg
RADIATOR GRILLE 1X2,241226,2,https://www.lego.com/cdn/cs/set/assets/blt5d25bf36e28392b2/241226.jpg
"PLATE 1X3, ROUNDED, NO. 1",6428168,4,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6428168.jpg
NOSE CONE SMALL 1X1,4529234,2,https://www.lego.com/cdn/cs/set/assets/blt59c68ca8a5f0c2b8/4529234.jpg
GLASS FOR FRAME 1X2X2,6254563,8,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6254563.jpg
GLAS FOR WALL 2X8X2 WRY INV.,6514308,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6514308.jpg
HOOK W/ BALL 1X3,6347464,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6347464.jpg
FLAT TILE 1X2,306926,1,https://www.lego.com/cdn/cs/set/assets/blt735fc39360bd2225/306926.jpg
PLATE 2X2,302226,1,https://www.lego.com/cdn/cs/set/assets/blt80ce1367fd4f6145/302226.jpg
TAP Ø4.9/6.4,4211503,1,https://www.lego.com/cdn/cs/set/assets/blt93fb409ea7b6db56/4211503.jpg
PLATE 1X2 W. 1 KNOB,6066097,1,https://www.lego.com/cdn/cs/set/assets/blt0937ad071b3f7b45/6066097.jpg
MINI ANTENNA WH/BLA.ASS,73737,2,https://www.lego.com/cdn/cs/set/assets/blt005465fd7c92c0a6/73737.jpg
ANTENNA 1X1X8,6265157,2,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6265157.jpg
MINI FIG. BACK PLATE W. KNOB,6277181,2,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6277181.jpg
"PLATE 1X3, ROUNDED, NO. 1",6450820,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6450820.jpg
NOSE CONE SMALL 1X1,4518400,1,https://www.lego.com/cdn/cs/set/assets/blt0e9ec9b28201825e/4518400.jpg
SLIDE SHOE ROUND 2X2,4278359,9,https://www.lego.com/cdn/cs/set/assets/bltbad6cbf4c8960489/4278359.jpg
DRUM HOLDER 2X2,6163507,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6163507.jpg
DRUM Ø11,4211370,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/4211370.jpg
STERN 12X10,6486789,2,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6486789.jpg
PLATE 2X6,379523,1,https://www.lego.com/cdn/cs/set/assets/blt732e8f8d1b2052d1/379523.jpg
"BEARING ELEMENT 2X2, DOUBLE",6408022,5,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6408022.jpg
CONSOLE W/ST.WHEEL BL/BL,73081,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/73081.jpg
SEAT 2X2X2,407901,1,https://www.lego.com/cdn/cs/set/assets/blt829338a15197c0c3/407901.jpg
CORNER PLATE 1X2X2,242024,4,https://www.lego.com/cdn/cs/set/assets/bltac456978b225a852/242024.jpg
